Action Type,Security ID,Parent Ticker,PERMNO,Announce/Declared Date,Effective Date,Amd Flag,Name,Spun-off Company name,Spun off Company ticker,Terms
Spin-off,MCK US Equity,MCK,10516,2020-02-10,2020-03-10,Y,McKesson Corp,PF2 SpinCo Inc,1784039D US Equity,11.4086: 1
Spin-off,HWM US Equity,HWM,14543,2024-10-30,2020-04-01,Y,Howmet Aerospace Inc,Arconic Corp,ARNC US Equity,1 per 4
Spin-off,RTX US Equity,RTX,12431,2018-11-26,2020-04-03,Y,RTX Corp,Carrier Global Corp,CARR US Equity,1 per 1
Spin-off,RTX US Equity,RTX,12431,2018-11-26,2020-04-03,Y,RTX Corp,Otis Worldwide Corp,OTIS US Equity,1 per 2
Spin-off,ECL US Equity,ECL,22513,2019-02-04,2020-06-04,Y,Ecolab Inc,ChampionX Holding Inc,1695496D US Equity,24.6667: 1
Spin-off,OXY US Equity,OXY,26144,2020-06-29,2020-07-02,Y,Occidental Petroleum Corp,Occidental Petroleum Corp,OXY/WS US Equity,1 per 8
Spin-off,FTV US Equity,FTV,16162,2019-09-04,2020-10-09,Y,Fortive Corp,Vontier Corp,VNT US Equity,2 per 5
Spin-off,PFE US Equity,PFE,21901,2020-06-29,2020-11-17,Y,Pfizer Inc,Viatris Inc,VTRS US Equity,.1241  : 1
Spin-off,MRK US Equity,MRK,22752,2020-02-05,2021-06-03,Y,Merck & Co Inc,Organon & Co,OGN US Equity,1 per 10
Spin-off,DTE US Equity,DTE,11953,2020-10-27,2021-07-01,Y,DTE Energy Co,DT Midstream Inc,DTM US Equity,1 per 2
Spin-off,IP US Equity,IP,23136,2020-12-03,2021-10-01,Y,International Paper Co,Sylvamo Corp,SLVM US Equity,1 per 11
Spin-off,DELL US Equity,DELL,18144,2021-04-14,2021-11-02,Y,Dell Technologies Inc,VMware Inc,VMW US Equity,.4406  : 1
Spin-off,IBM US Equity,IBM,12490,2020-10-08,2021-11-04,Y,International Business Machine,Kyndryl Holdings Inc,KD US Equity,1 per 5
Spin-off,O US Equity,O,80649,2021-05-28,2021-11-15,Y,Realty Income Corp,Orion Properties Inc,ONL US Equity,1 per 10
Spin-off,EXC US Equity,EXC,88863,2021-03-03,2022-02-02,Y,Exelon Corp,Constellation Energy Corp,CEG US Equity,1 per 3
Spin-off,ZBH US Equity,ZBH,89081,2021-02-05,2022-03-01,Y,Zimmer Biomet Holdings Inc,Zimvie Inc,ZIMV US Equity,1 per 10
Spin-off,BDX US Equity,BDX,20521,2021-05-06,2022-04-01,Y,Becton Dickinson and Co,Embecta Corp,EMBC US Equity,1 per 5
Spin-off,T US Equity,T,10401,2021-05-17,2022-04-11,Y,AT&T Inc,Warnermedia Holdings Inc,2020368D US Equity,1 per 1
Spin-off,GE US Equity,GE,12060,2021-11-09,2023-01-04,Y,General Electric Co,GE HealthCare Technologies Inc,GEHC US Equity,1 per 3
Spin-off,LH US Equity,LH,80644,2022-07-28,2023-07-03,Y,Labcorp Holdings Inc,Fortrea Holdings Inc,FTRE US Equity,1 per 1
Spin-off,DHR US Equity,DHR,70377,2022-09-14,2023-10-02,Y,Danaher Corp,EAS Segment,VLTO US Equity,1 per 3
Spin-off,CMI US Equity,CMI,21151,2023-11-02,2024-03-08,Y,Cummins Inc,Atmus Filtration Technologies Inc,ATMU US Equity,12.0298: 1
Spin-off,MMM US Equity,MMM,22580,2022-07-26,2024-04-01,Y,3M Co,Solventum Corp,SOLV US Equity,1 per 4
Spin-off,GE US Equity,GE,12060,2021-11-09,2024-04-02,Y,General Electric Co,GE Renewable Energy & Power & Digital business,GEV US Equity,1 per 4
Spin-off,J US Equity,J,76166,2023-11-23,2024-09-30,Y,Jacobs Solutions Inc,Amentum Holdings Inc,AMTM US Equity,1 per 1
Spin-off,LEN/B US Equity,LEN/B,75395,2025-01-10,2025-01-21,Y,Lennar Corp,Millrose Properties Inc,MRP US Equity,1 per 2
Spin-off,WDC US Equity,WDC,64536,2023-10-30,2025-02-24,Y,Western Digital Corp,Sandisk Corp,SNDK US Equity,1 per 3
Spin-off,J US Equity,J,76166,2025-04-30,2025-05-16,Y,Jacobs Solutions Inc,Amentum Holdings Inc,AMTM US Equity,.0608  : 1
Spin-off,FTV US Equity,FTV,16162,2024-09-06,2025-06-30,Y,Fortive Corp,Ralliant Corp,RAL US Equity,1 per 3
Spin-off,HON US Equity,HON,10145,2024-10-08,2025-10-30,Y,Honeywell International Inc,Solstice Advanced Materials Inc,SOLS US Equity,1 per 4
