child,parent,effective_date,log_child_mktcap,log_size_ratio,parent_index_weight,forced_flow_adv,log_lag_days,passive_aum_B,P(included) %,model call,actual status,actual label,model correct
GEV,GE,2024-04-02,24.37059490632834,0.7569573114857626,0.0041026403518264,11.466563520708933,6.774223886357614,3221.174,98.2,included,immediately included,1,True
VMW,DELL,2021-11-02,23.428830188215866,0.23746481979783568,6.193819183649056e-05,16.606926709713825,5.308267697401205,2376.0377,96.5,included,excluded,0,False
VTRS,PFE,2020-11-17,23.699203483172223,0.871803491955604,0.0062855407387375,7.142429429184265,4.948759890378168,1577.2549000000001,95.2,included,immediately included,1,True
GEHC,GE,2023-01-04,24.03764847319477,0.7727806427838156,0.0027092117428616,13.093718816995697,6.042632833682381,2147.7157,92.8,included,immediately included,1,True
OTIS,RTX,2020-04-03,23.74343995213817,0.9160399609215528,0.0008742586975027,4.217357389491621,6.202535517187923,1260.2669,89.1,included,immediately included,1,True
CEG,EXC,2022-02-02,23.574923252661872,0.279045185508354,0.0003244184072648,4.401897711957668,5.817111159963204,2368.5693,88.5,included,immediately included,1,True
VLTO,DHR,2023-10-02,23.76531054095462,0.5004427105436619,0.0047712211690319,20.100997313191822,5.948034989180646,2473.4455,85.4,included,immediately included,1,True
SOLV,MMM,2024-04-01,23.202673386024273,-0.41096420881830176,0.0012536403168312,7.050581890753311,6.421622267806518,3221.174,84.2,included,immediately included,1,True
CARR,RTX,2020-04-03,23.408149293329537,0.580749302112919,0.0008742586975027,4.217357389491621,6.202535517187923,1260.2669,81.2,included,immediately included,1,True
KD,IBM,2021-11-04,22.50036971572897,-0.6909956526890612,0.0026605872644486,7.714401287379453,5.971261839790462,2376.0377,81.1,included,excluded,0,False
OGN,MRK,2021-06-03,22.961855408018792,-0.2295099603992395,0.0049623487937118,11.46899718228128,6.182084906716632,2105.4689,76.7,included,immediately included,1,True
AMTM,J,2024-09-30,22.783332071265896,-0.8303055235766786,0.0003781489762122,14.275089238661808,5.7430031878094825,3567.1524,48.8,not included,immediately included,1,False
DTM,DTE,2021-07-01,22.126964186220437,-1.0644011821975934,0.0006347960551839,9.341810290634466,5.5093883366279774,2156.9443,45.5,not included,excluded,0,True
VNT,FTV,2020-10-09,22.27785333382698,-0.5495466573896403,0.0008808871692727,5.684365207371115,5.993961427306569,1630.0909000000001,42.1,not included,immediately included,1,False
ATMU,CMI,2024-03-08,21.312940551693494,-2.3006970431490825,0.0008210987210556,3.893775795316173,4.844187086458591,3089.9673,35.4,not included,excluded,0,True
FTRE,LH,2023-07-03,21.908481419349506,-1.356386411061452,0.0005363480657657,9.23661024034203,5.8289456176102075,2524.1753000000003,27.1,not included,immediately included,1,False
EMBC,BDX,2022-04-01,21.29019141458118,-2.0056866525723356,5.94510314680653e-07,5.324627009725522,5.799092654460526,2434.4431,23.2,not included,excluded,0,True
ONL,O,2021-11-15,20.910685874371065,-2.2806794940469652,0.000683908404498,4.412429641864619,5.14166355650266,2376.0377,15.9,not included,excluded,0,True
SLVM,IP,2021-10-01,21.098636619445987,-2.092728748972044,0.0005524352460704,10.650468551965515,5.71042701737487,2197.3748,12.7,not included,excluded,0,True
ZIMV,ZBH,2022-03-01,20.315382557417042,-2.9804955097364747,0.0006661272804189,6.1162592505117415,5.963579343618446,2330.3303000000005,5.1,not included,excluded,0,True
AMTM,J,2025-05-16,22.783332071265896,-0.8303055235766786,0.0003157906007533,10.345030639133912,2.772588722239781,3759.2594,0.8,not included,immediately included,1,False
