parent_name,parent_ticker,permno,gvkey,spinoff_name,spinoff_ticker,spinoff_ratio,announce_date,effective_date,company_name_wrds,ticker_wrds,sp500_start,sp500_end,still_active,in_sp500_at_spinoff,naics,parent_mktcap_usd,sp500_total_mktcap_usd,parent_index_weight,passive_aum_usd,forced_flow_usd,parent_adv_usd,forced_flow_adv
McKesson Corp,MCK,10516,001722,PF2 SpinCo Inc,1784039D,11.4086: 1,2020-02-10,2020-03-10,ARCHER DANIELS MIDLAND CO,ADM,1981-07-30,2024-12-31,False,True,311221,19693411099.999996,24597239235908.71,0.0008006350188784693,1437588900000.0002,1150984016.0909781,149510168.88966668,7.6983661020432965
Howmet Aerospace Inc,HWM,14543,023167,Arconic Corp,ARNC,1 per 4,2024-10-30,2020-04-01,,,,,,False,,293361200.0,23103020343860.48,1.2697958779141159e-05,1260266900000.0,16002817.146916013,2393281.2186666667,6.686559449052722
RTX Corp,RTX,12431,005959,Carrier Global Corp,CARR,1 per 1,2018-11-26,2020-04-03,TRANE TECHNOLOGIES PLC,TT,2010-11-17,2024-12-31,False,True,333413,19753906860.0,22595036133384.637,0.0008742586975027312,1260266900000.0,1101799298.4998047,261253480.97013435,4.217357389491621
RTX Corp,RTX,12431,005959,Otis Worldwide Corp,OTIS,1 per 2,2018-11-26,2020-04-03,TRANE TECHNOLOGIES PLC,TT,2010-11-17,2024-12-31,False,True,333413,19753906860.0,22595036133384.637,0.0008742586975027312,1260266900000.0,1101799298.4998047,261253480.97013435,4.217357389491621
Ecolab Inc,ECL,70578,004213,ChampionX Holding Inc,1695496D,24.6667: 1,2019-02-04,2020-06-04,ECOLAB INC,ECL,1989-01-12,2024-12-31,False,True,325611,63873153720.00001,28065829749247.695,0.002275833434844809,1474625200000.0,3356001334.0247135,1262645512.329388,2.6579125346380112
Occidental Petroleum Corp,OXY,34833,008068,Occidental Petroleum Corp,OXY/WS,1 per 8,2020-06-29,2020-07-02,OCCIDENTAL PETROLEUM CORP,OXY,1982-12-09,2024-12-31,False,True,211120,15669313380.0,28046814045005.297,0.0005586842539354469,1505876400000.0,841309433.0529966,845586331.22,0.9949420916480134
Fortive Corp,FTV,16087,026590,Vontier Corp,VNT,2 per 5,2019-09-04,2020-10-09,FORTIVE CORP,FTV,2016-07-05,2024-12-31,False,True,334513,27569037090.000004,31296899366533.46,0.0008808871692727571,1630090900000.0002,1435926158.5582812,252609764.88566667,5.684365207371115
Pfizer Inc,PFE,21936,008530,Viatris Inc,VTRS,.1241  : 1,2020-06-29,2020-11-17,PFIZER INC,PFE,1957-03-01,2024-12-31,False,True,325412,207438330399.99997,33002463753288.016,0.006285540738737514,1577254900000.0002,9913899929.323364,1388029105.1689997,7.142429429184265
Merck & Co Inc,MRK,22752,007257,Organon & Co,OGN,1 per 10,2020-02-05,2021-06-03,MERCK & CO INC NEW,MRK,1957-03-01,2024-12-31,False,True,325412,192107240460.0,38712966066277.32,0.004962348793711875,2105468900000.0,10448071056.11287,910983836.6910001,11.46899718228128
DTE Energy Co,DTE,11674,003897,DT Midstream Inc,DTM,1 per 2,2020-10-27,2021-07-01,D T E ENERGY CO,DTE,1925-12-31,2024-12-31,False,True,221118,25107021137.27,39551318777483.69,0.0006347960551839619,2156944299999.9998,1369219732.891532,146568993.620458,9.341810290634466
International Paper Co,IP,21573,006104,Sylvamo Corp,SLVM,1 per 11,2020-12-03,2021-10-01,INTERNATIONAL PAPER CO,IP,1925-12-31,2024-12-31,False,True,322120,21855493200.0,39562090499220.99,0.0005524352460704864,2197374799999.9998,1213907288.3470857,113976890.53999998,10.650468551965517
