Bloomberg Corporate Action Calendar - CACT<GO>,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Action Type,Security ID,Announce/Declared Date,Effective Date,Amd Flag,Summary,Summary,Summary,Summary,Summary,Summary
Spin-off,MCK US Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
Spin-off,0JZUL S2 Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
Spin-off,0JZUL L3 Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
Spin-off,MCK1EUR EU Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
Spin-off,MCK1EUR EO Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
Spin-off,MCK GZ Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
Spin-off,0JZUL B3 Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
Spin-off,MCK1USD EO Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
Spin-off,0JZU LN Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
Spin-off,MCK1USD EU Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
Spin-off,MCK QT Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
Spin-off,0JZUL PO Equity,2/10/2020,3/10/2020,Y,Name: McKesson Corp, Spun-Off Company Name: PF2 SpinCo Inc, Spun-Off Company Ticker: 1784039D US Equity, Terms: 11.4086: 1, , 
